商品,日期,今值,预测值,前值
中国CPI月率报告,1996-02-01,2.1,,
中国CPI月率报告,1996-03-01,2.3,,2.1
中国CPI月率报告,1996-04-01,0.6,,2.3
中国CPI月率报告,1996-05-01,0.7,,0.6
中国CPI月率报告,1996-06-01,-0.5,,0.7
中国CPI月率报告,1996-07-01,-1.6,,-0.5
中国CPI月率报告,1996-08-01,-0.8,,-1.6
中国CPI月率报告,1996-09-01,1.5,,-0.8
中国CPI月率报告,1996-10-01,1.5,,1.5
中国CPI月率报告,1996-11-01,-0.2,,1.5
中国CPI月率报告,1996-12-01,-0.1,,-0.2
中国CPI月率报告,1997-01-01,0.7,,-0.1
中国CPI月率报告,1997-02-01,1.1,,0.7
中国CPI月率报告,1997-03-01,2.0,,1.1
中国CPI月率报告,1997-04-01,-1.1,,2.0
中国CPI月率报告,1997-05-01,-0.2,,-1.1
中国CPI月率报告,1997-06-01,-0.9,,-0.2
中国CPI月率报告,1997-07-01,-1.7,,-0.9
中国CPI月率报告,1997-08-01,-1.2,,-1.7
中国CPI月率报告,1997-09-01,0.6,,-1.2
中国CPI月率报告,1997-10-01,1.7,,0.6
中国CPI月率报告,1997-11-01,-0.6,,1.7
中国CPI月率报告,1997-12-01,-0.3,,-0.6
中国CPI月率报告,1998-01-01,0.1,,-0.3
中国CPI月率报告,1998-02-01,0.7,,0.1
中国CPI月率报告,1998-03-01,1.5,,0.7
中国CPI月率报告,1998-04-01,-0.5,,1.5
中国CPI月率报告,1998-05-01,-0.8,,-0.5
中国CPI月率报告,1998-06-01,-1.4,,-0.8
中国CPI月率报告,1998-07-01,-1.8,,-1.4
中国CPI月率报告,1998-08-01,-1.3,,-1.8
中国CPI月率报告,1998-09-01,0.8,,-1.3
中国CPI月率报告,1998-10-01,1.6,,0.8
中国CPI月率报告,1998-11-01,-0.3,,1.6
中国CPI月率报告,1998-12-01,-0.3,,-0.3
中国CPI月率报告,1999-01-01,0.2,,-0.3
中国CPI月率报告,1999-02-01,0.2,,0.2
中国CPI月率报告,1999-03-01,1.3,,0.2
中国CPI月率报告,1999-04-01,-0.8,,1.3
中国CPI月率报告,1999-05-01,-1.0,,-0.8
中国CPI月率报告,1999-06-01,-1.3,,-1.0
中国CPI月率报告,1999-07-01,-1.8,,-1.3
中国CPI月率报告,1999-08-01,-0.9,,-1.8
中国CPI月率报告,1999-09-01,1.0,,-0.9
中国CPI月率报告,1999-10-01,2.0,,1.0
中国CPI月率报告,1999-11-01,0.0,,2.0
中国CPI月率报告,1999-12-01,-0.6,,0.0
中国CPI月率报告,2000-01-01,0.0,,-0.6
中国CPI月率报告,2000-02-01,0.9,,0.0
中国CPI月率报告,2000-03-01,1.9,,0.9
中国CPI月率报告,2000-04-01,-1.6,,1.9
中国CPI月率报告,2000-05-01,-0.9,,-1.6
中国CPI月率报告,2000-06-01,-1.0,,-0.9
中国CPI月率报告,2000-07-01,-1.5,,-1.0
中国CPI月率报告,2000-08-01,-0.8,,-1.5
中国CPI月率报告,2000-09-01,1.0,,-0.8
中国CPI月率报告,2000-10-01,1.6,,1.0
中国CPI月率报告,2000-11-01,-0.1,,1.6
中国CPI月率报告,2000-12-01,0.7,,-0.1
中国CPI月率报告,2001-01-01,0.1,,0.7
中国CPI月率报告,2001-02-01,0.9,,0.1
中国CPI月率报告,2001-03-01,0.1,,0.9
中国CPI月率报告,2001-04-01,-0.6,,0.1
中国CPI月率报告,2001-05-01,0.2,,-0.6
中国CPI月率报告,2001-06-01,-0.5,,0.2
中国CPI月率报告,2001-07-01,-1.2,,-0.5
中国CPI月率报告,2001-08-01,-0.5,,-1.2
中国CPI月率报告,2001-09-01,0.1,,-0.5
中国CPI月率报告,2001-10-01,0.9,,0.1
中国CPI月率报告,2001-11-01,0.3,,0.9
中国CPI月率报告,2001-12-01,-0.2,,0.3
中国CPI月率报告,2002-01-01,0.1,,-0.2
中国CPI月率报告,2002-02-01,0.3,,0.1
中国CPI月率报告,2002-03-01,1.1,,0.3
中国CPI月率报告,2002-04-01,-1.3,,1.1
中国CPI月率报告,2002-05-01,-0.3,,-1.3
中国CPI月率报告,2002-06-01,-0.3,,-0.3
中国CPI月率报告,2002-07-01,-0.9,,-0.3
中国CPI月率报告,2002-08-01,-0.7,,-0.9
中国CPI月率报告,2002-09-01,0.3,,-0.7
中国CPI月率报告,2002-10-01,1.0,,0.3
中国CPI月率报告,2002-11-01,0.2,,1.0
中国CPI月率报告,2002-12-01,-0.1,,0.2
中国CPI月率报告,2003-01-01,0.3,,-0.1
中国CPI月率报告,2003-02-01,1.1,,0.3
中国CPI月率报告,2003-03-01,0.9,,1.1
中国CPI月率报告,2003-04-01,-0.6,,0.9
中国CPI月率报告,2003-05-01,-0.2,,-0.6
中国CPI月率报告,2003-06-01,-0.7,,-0.2
中国CPI月率报告,2003-07-01,-1.2,,-0.7
中国CPI月率报告,2003-08-01,-0.5,,-1.2
中国CPI月率报告,2003-09-01,0.7,,-0.5
中国CPI月率报告,2003-10-01,1.2,,0.7
中国CPI月率报告,2003-11-01,0.9,,1.2
中国CPI月率报告,2003-12-01,1.0,,0.9
中国CPI月率报告,2004-01-01,0.6,,1.0
中国CPI月率报告,2004-02-01,1.1,,0.6
中国CPI月率报告,2004-03-01,-0.2,,1.1
中国CPI月率报告,2004-04-01,0.3,,-0.2
中国CPI月率报告,2004-05-01,0.5,,0.3
中国CPI月率报告,2004-06-01,-0.1,,0.5
中国CPI月率报告,2004-07-01,-0.7,,-0.1
中国CPI月率报告,2004-08-01,-0.2,,-0.7
中国CPI月率报告,2004-09-01,0.7,,-0.2
中国CPI月率报告,2004-10-01,1.1,,0.7
中国CPI月率报告,2004-11-01,0.0,,1.1
中国CPI月率报告,2004-12-01,-0.3,,0.0
中国CPI月率报告,2005-01-01,0.1,,-0.3
中国CPI月率报告,2005-02-01,0.6,,0.1
中国CPI月率报告,2005-03-01,1.8,,0.6
中国CPI月率报告,2005-04-01,-0.9,,1.8
中国CPI月率报告,2005-05-01,-0.3,,-0.9
中国CPI月率报告,2005-06-01,-0.2,,-0.3
中国CPI月率报告,2005-07-01,-0.8,,-0.2
中国CPI月率报告,2005-08-01,0.0,,-0.8
中国CPI月率报告,2005-09-01,0.2,,0.0
中国CPI月率报告,2005-10-01,0.7,,0.2
中国CPI月率报告,2005-11-01,0.4,,0.7
中国CPI月率报告,2005-12-01,-0.3,,0.4
中国CPI月率报告,2006-01-01,0.4,,-0.3
中国CPI月率报告,2006-02-01,1.3,,0.4
中国CPI月率报告,2006-03-01,0.5,,1.3
中国CPI月率报告,2006-04-01,-0.9,,0.5
中国CPI月率报告,2006-05-01,0.2,,-0.9
中国CPI月率报告,2006-06-01,-0.1,,0.2
中国CPI月率报告,2006-07-01,-0.5,,-0.1
中国CPI月率报告,2006-08-01,-0.3,,-0.5
中国CPI月率报告,2006-09-01,0.3,,-0.3
中国CPI月率报告,2006-10-01,0.5,,0.3
中国CPI月率报告,2006-11-01,0.1,,0.5
中国CPI月率报告,2006-12-01,0.3,,0.1
中国CPI月率报告,2007-01-01,1.4,,0.3
中国CPI月率报告,2007-02-01,0.7,,1.4
中国CPI月率报告,2007-03-01,1.0,,0.7
中国CPI月率报告,2007-04-01,-0.3,,1.0
中国CPI月率报告,2007-05-01,-0.1,,-0.3
中国CPI月率报告,2007-06-01,0.3,,-0.1
中国CPI月率报告,2007-07-01,0.4,,0.3
中国CPI月率报告,2007-08-01,0.9,,0.4
中国CPI月率报告,2007-09-01,1.2,,0.9
中国CPI月率报告,2007-10-01,0.3,,1.2
中国CPI月率报告,2007-11-01,0.3,,0.3
中国CPI月率报告,2007-12-01,0.7,,0.3
中国CPI月率报告,2008-01-01,1.0,,0.7
中国CPI月率报告,2008-02-01,1.2,,1.0
中国CPI月率报告,2008-03-01,2.6,,1.2
中国CPI月率报告,2008-04-01,-0.7,,2.6
中国CPI月率报告,2008-05-01,0.1,,-0.7
中国CPI月率报告,2008-06-01,-0.4,,0.1
中国CPI月率报告,2008-07-01,-0.2,,-0.4
中国CPI月率报告,2008-08-01,0.1,,-0.2
中国CPI月率报告,2008-09-01,-0.1,,0.1
中国CPI月率报告,2008-10-01,0.0,,-0.1
中国CPI月率报告,2008-11-01,-0.3,,0.0
中国CPI月率报告,2008-12-01,-0.8,,-0.3
中国CPI月率报告,2009-01-01,-0.2,,-0.8
中国CPI月率报告,2009-02-01,0.9,,-0.2
中国CPI月率报告,2009-03-01,0.0,,0.9
中国CPI月率报告,2009-04-01,-0.3,,0.0
中国CPI月率报告,2009-05-01,-0.2,,-0.3
中国CPI月率报告,2009-06-01,-0.3,,-0.2
中国CPI月率报告,2009-07-01,-0.5,,-0.3
中国CPI月率报告,2009-08-01,0.0,,-0.5
中国CPI月率报告,2009-09-01,0.5,,0.0
中国CPI月率报告,2009-10-01,0.4,,0.5
中国CPI月率报告,2009-11-01,-0.1,,0.4
中国CPI月率报告,2009-12-01,0.3,,-0.1
中国CPI月率报告,2010-01-01,1.0,,0.3
中国CPI月率报告,2010-02-01,0.6,,1.0
中国CPI月率报告,2010-03-01,1.2,,0.6
中国CPI月率报告,2010-04-01,-0.7,,1.2
中国CPI月率报告,2010-05-01,0.2,,-0.7
中国CPI月率报告,2010-06-01,-0.1,,0.2
中国CPI月率报告,2010-07-01,-0.6,,-0.1
中国CPI月率报告,2010-08-01,0.4,,-0.6
中国CPI月率报告,2010-09-01,0.6,,0.4
中国CPI月率报告,2010-10-01,0.6,,0.6
中国CPI月率报告,2010-11-01,0.7,,0.6
中国CPI月率报告,2010-12-01,1.1,,0.7
中国CPI月率报告,2011-01-01,0.5,,1.1
中国CPI月率报告,2011-02-01,1.0,,0.5
中国CPI月率报告,2011-03-01,1.2,,1.0
中国CPI月率报告,2011-04-01,-0.2,,1.2
中国CPI月率报告,2011-05-01,0.1,,-0.2
中国CPI月率报告,2011-06-01,0.1,,0.1
中国CPI月率报告,2011-07-01,0.3,,0.1
中国CPI月率报告,2011-08-01,0.5,,0.3
中国CPI月率报告,2011-09-01,0.3,,0.5
中国CPI月率报告,2011-10-01,0.5,,0.3
中国CPI月率报告,2011-11-01,0.1,,0.5
中国CPI月率报告,2011-12-01,-0.2,,0.1
中国CPI月率报告,2012-01-01,0.3,,-0.2
中国CPI月率报告,2012-02-01,1.5,,0.3
中国CPI月率报告,2012-03-01,-0.1,,1.5
中国CPI月率报告,2012-04-01,0.2,,-0.1
中国CPI月率报告,2012-05-11,-0.1,-0.2,0.2
中国CPI月率报告,2012-06-09,-0.3,-0.1,-0.1
中国CPI月率报告,2012-07-09,-0.6,-0.3,-0.3
中国CPI月率报告,2012-08-09,0.1,-0.1,-0.6
中国CPI月率报告,2012-09-09,0.6,0.5,0.1
中国CPI月率报告,2012-10-15,0.3,0.4,0.6
中国CPI月率报告,2012-11-09,-0.1,0.1,0.3
中国CPI月率报告,2012-12-09,0.1,0.2,-0.1
中国CPI月率报告,2013-01-11,0.8,0.5,0.1
中国CPI月率报告,2013-02-08,1.0,0.9,0.8
中国CPI月率报告,2013-03-09,1.1,0.8,1.0
中国CPI月率报告,2013-04-09,-0.9,-0.6,1.1
中国CPI月率报告,2013-05-09,0.2,0.1,-0.9
中国CPI月率报告,2013-06-09,-0.6,-0.2,0.2
中国CPI月率报告,2013-07-09,0.0,-0.2,-0.6
中国CPI月率报告,2013-08-09,0.1,0.1,0.0
中国CPI月率报告,2013-09-09,0.5,0.4,0.1
中国CPI月率报告,2013-10-14,0.8,0.5,0.5
中国CPI月率报告,2013-11-09,0.1,0.2,0.8
中国CPI月率报告,2013-12-09,-0.1,0.0,0.1
中国CPI月率报告,2014-01-09,0.3,0.4,-0.1
中国CPI月率报告,2014-02-14,1.0,0.7,0.3
中国CPI月率报告,2014-03-09,0.5,0.8,1.0
中国CPI月率报告,2014-04-11,-0.5,-0.5,0.5
中国CPI月率报告,2014-05-09,-0.3,-0.1,-0.5
中国CPI月率报告,2014-06-10,0.1,-0.1,-0.3
中国CPI月率报告,2014-07-09,-0.1,,0.1
中国CPI月率报告,2014-08-09,0.1,0.1,-0.1
中国CPI月率报告,2014-09-11,0.2,0.4,0.1
中国CPI月率报告,2014-10-15,0.5,0.4,0.2
中国CPI月率报告,2014-11-10,0.0,0.1,0.5
中国CPI月率报告,2014-12-10,-0.2,0.1,0.0
中国CPI月率报告,2015-01-09,0.3,0.3,-0.2
中国CPI月率报告,2015-02-10,0.3,0.4,0.3
中国CPI月率报告,2015-03-10,1.2,0.8,0.3
中国CPI月率报告,2015-04-10,-0.5,-0.6,1.2
中国CPI月率报告,2015-05-09,-0.2,,-0.5
中国CPI月率报告,2015-06-09,-0.2,0.0,-0.2
中国CPI月率报告,2015-07-09,0.0,-0.1,-0.2
中国CPI月率报告,2015-08-09,0.3,0.3,0.0
中国CPI月率报告,2015-09-10,0.5,0.4,0.3
中国CPI月率报告,2015-10-14,0.1,0.5,0.5
中国CPI月率报告,2015-11-10,-0.3,-0.2,0.1
中国CPI月率报告,2015-12-09,0.0,-0.1,-0.3
中国CPI月率报告,2016-01-09,0.5,0.4,0.0
中国CPI月率报告,2016-02-18,0.5,0.5,0.5
中国CPI月率报告,2016-03-10,1.6,1.1,0.5
中国CPI月率报告,2016-04-11,-0.4,-0.3,1.6
中国CPI月率报告,2016-05-10,-0.2,-0.2,-0.4
中国CPI月率报告,2016-06-09,-0.5,-0.2,-0.2
中国CPI月率报告,2016-07-10,-0.1,-0.3,-0.5
中国CPI月率报告,2016-08-09,0.2,0.1,-0.1
中国CPI月率报告,2016-09-09,0.1,0.3,0.2
中国CPI月率报告,2016-10-14,0.7,0.3,0.1
中国CPI月率报告,2016-11-09,-0.1,,0.7
中国CPI月率报告,2016-12-09,0.1,0.1,-0.1
中国CPI月率报告,2017-01-10,0.2,0.3,0.1
中国CPI月率报告,2017-02-14,1.0,0.7,0.2
中国CPI月率报告,2017-03-09,-0.2,0.6,1.0
中国CPI月率报告,2017-04-12,-0.3,-0.3,-0.2
中国CPI月率报告,2017-05-10,0.1,,-0.3
中国CPI月率报告,2017-06-09,-0.1,-0.2,0.1
中国CPI月率报告,2017-07-10,-0.2,-0.1,-0.1
中国CPI月率报告,2017-08-09,0.1,0.2,-0.2
中国CPI月率报告,2017-09-09,0.4,0.3,0.1
中国CPI月率报告,2017-10-16,0.5,0.4,0.4
中国CPI月率报告,2017-11-09,0.1,0.2,0.5
中国CPI月率报告,2017-12-09,0.0,0.1,0.1
中国CPI月率报告,2018-01-10,0.3,0.4,0.0
中国CPI月率报告,2018-02-09,0.6,0.7,0.3
中国CPI月率报告,2018-03-09,1.2,0.8,0.6
中国CPI月率报告,2018-04-11,-1.1,-0.5,1.2
中国CPI月率报告,2018-05-10,-0.2,-0.1,-1.1
中国CPI月率报告,2018-06-09,-0.2,-0.1,-0.2
中国CPI月率报告,2018-07-10,-0.1,0.1,-0.2
中国CPI月率报告,2018-08-09,0.3,0.2,-0.1
中国CPI月率报告,2018-09-10,0.7,0.5,0.3
中国CPI月率报告,2018-10-16,0.7,0.7,0.7
中国CPI月率报告,2018-11-09,0.2,0.2,0.7
中国CPI月率报告,2018-12-09,-0.3,-0.1,0.2
中国CPI月率报告,2019-01-10,0.0,0.3,-0.3
