日期,新建商品住宅价格指数-同比,新建商品住宅价格指数-环比
2011-01-01,105.44999999999999,101.05
2011-02-01,105.6,100.8
2011-03-01,104.1,100.1
2011-04-01,102.45,100.19999999999999
2011-05-01,102.1,100.2
2011-06-01,102.65,100.1
2011-07-01,102.65,100.0
2011-08-01,102.80000000000001,100.0
2011-09-01,103.0,100.0
2011-10-01,102.80000000000001,99.80000000000001
2011-11-01,102.19999999999999,99.6
2011-12-01,101.65,99.69999999999999
2012-01-01,100.44999999999999,99.85
2012-02-01,99.45,99.8
2012-03-01,98.95,99.6
2012-04-01,98.55000000000001,99.8
2012-05-01,98.2,99.85
2012-06-01,98.4,100.25
2012-07-01,98.6,100.19999999999999
2012-08-01,98.7,100.1
2012-09-01,98.69999999999999,100.05
2012-10-01,99.05000000000001,100.15
2012-11-01,99.95,100.5
2012-12-01,101.0,100.85
2013-01-01,102.9,101.69999999999999
2013-02-01,105.9,102.69999999999999
2013-03-01,109.5,102.95
2013-04-01,111.80000000000001,101.9
2013-05-01,113.7,101.65
2013-06-01,115.55000000000001,101.95
2013-07-01,117.4,101.75
2013-08-01,118.9,101.4
2013-09-01,120.5,101.4
2013-10-01,121.30000000000001,100.8
2013-11-01,121.5,100.7
2013-12-01,121.25,100.6
2014-01-01,119.85,100.5
2014-02-01,117.1,100.35
2014-03-01,114.25,100.45
2014-04-01,112.4,100.25
2014-05-01,110.5,99.95
2014-06-01,108.1,99.69999999999999
2014-07-01,104.85,98.65
2014-08-01,102.15,98.75
2014-09-01,99.75,99.0
2014-10-01,97.94999999999999,99.0
2014-11-01,96.95,99.6
2014-12-01,96.1,99.75
2015-01-01,95.55,99.95
2015-02-01,95.0,99.80000000000001
2015-03-01,94.69999999999999,100.15
2015-04-01,95.25,100.75
2015-05-01,97.15,102.0
2015-06-01,99.4,102.0
2015-07-01,102.4,101.65
2015-08-01,105.1,101.44999999999999
2015-09-01,107.80000000000001,101.5
2015-10-01,110.4,101.44999999999999
2015-11-01,112.5,101.45
2015-12-01,114.30000000000001,101.3
2016-01-01,116.35,101.85
2016-02-01,119.65,102.6
2016-03-01,124.05,103.8
2016-04-01,127.19999999999999,103.3
2016-05-01,127.60000000000001,102.35
2016-06-01,128.0,102.35
2016-07-01,127.9,101.55000000000001
2016-08-01,131.8,104.5
2016-09-01,134.95,104.05000000000001
2016-10-01,133.8,100.55
2016-11-01,131.85000000000002,99.95
2016-12-01,130.05,99.85
2017-01-01,127.65,99.95
2017-02-01,124.55,100.05000000000001
2017-03-01,120.19999999999999,100.15
2017-04-01,116.4,100.0
2017-05-01,113.75,100.0
2017-06-01,110.75,99.69999999999999
2017-07-01,109.0,99.95
2017-08-01,104.4,100.0
2017-09-01,100.2,99.85
2017-10-01,99.75,100.05
2017-11-01,99.7,100.0
2017-12-01,100.0,100.15
2018-01-01,99.3,99.9
2018-02-01,99.55000000000001,99.75
2018-03-01,99.55000000000001,100.15
2018-04-01,99.55,100.05000000000001
2018-05-01,99.55,100.0
2018-06-01,99.85,100.0
2018-07-01,100.0,100.05000000000001
2018-08-01,100.0,100.05
2018-09-01,100.1,99.95
2018-10-01,100.19999999999999,100.15
2018-11-01,100.75,100.55
2018-12-01,101.35,100.8
2019-01-01,101.85,100.35
2019-02-01,102.2,100.05
2019-03-01,102.2,100.15
2019-04-01,102.5,100.4
2019-05-01,102.80000000000001,100.25
2019-06-01,102.95,100.1
2019-07-01,103.1,100.25
2019-08-01,103.5,100.4
2019-09-01,103.7,100.25
2019-10-01,103.65,100.1
2019-11-01,104.1,101.0
2019-12-01,103.55,100.2
2020-01-01,103.4,100.25
2020-02-01,103.35,100.05
2020-03-01,103.25,100.05
2020-04-01,103.0,100.15
2020-05-01,103.3,100.65
2020-06-01,103.65,100.45
2020-07-01,103.75,100.35
2020-08-01,103.95,100.6
2020-09-01,104.15,100.4
2020-10-01,104.30000000000001,100.25
2020-11-01,103.25,99.95
2020-12-01,103.25,100.25
2021-01-01,103.65,100.55
2021-02-01,104.2,100.6
2021-03-01,104.44999999999999,100.25
2021-04-01,104.7,100.44999999999999
2021-05-01,104.4,100.35
2021-06-01,104.75,100.7
2021-07-01,104.95,100.6
2021-08-01,104.6,100.30000000000001
2021-09-01,104.25,100.1
2021-10-01,104.35,100.35
