统计时间,货币和准货币（广义货币M2）,货币和准货币（广义货币M2）同比增长,货币(狭义货币M1),货币(狭义货币M1)同比增长,流通中现金(M0),流通中现金(M0)同比增长,活期存款,活期存款同比增长,准货币,准货币同比增长,定期存款,定期存款同比增长,储蓄存款,储蓄存款同比增长,其他存款,其他存款同比增长
2026.3,3538636.53,8.5,1193202.99,5.1,147082.81,12.5,,,2345433.55,,,,,,459827.46,
2026.2,3492159.91,9.0,1159258.82,5.9,151436.41,14.1,,,2332901.1,,,,,,468310.62,
2026.1,3471860.39,9.0,1179680.52,4.9,146138.6,2.7,,,2292179.86,,,,,,452708.65,
2025.12,3402948.06,8.5,1155146.5,3.8,141261.37,10.2,,,2247801.56,,,,,,436523.01,
2025.11,3369890.52,8.0,1128866.64,4.9,137369.38,10.6,,,2241023.88,,,,,,440840.28,
2025.10,3351312.31,8.2,1119962.73,6.2,135478.14,10.6,,,2231349.58,,,,,,437662.08,
2025.9,3353771.03,8.4,1131455.07,7.2,135813.36,11.5,,,2222315.96,,,,,,419600.69,
2025.8,3319831.44,8.8,1112255.7,6.0,133402.29,11.7,,,2207575.74,,,,,,427812.71,
2025.7,3299429.06,8.8,1110586.92,5.6,132844.8,11.8,,,2188842.15,,,,,,414620.47,
2025.6,3302868.17,8.3,1139494.08,4.6,131827.18,12.0,,,2163374.09,,,,,,393512.46,
2025.5,3257838.11,7.9,1089147.65,2.3,131258.52,12.1,932958.03,,2168690.46,,1775173.08,,,,393517.38,
2025.4,3251739.32,8.0,1091407.33,1.5,131387.01,12.0,935446.79,,2160331.99,,1772196.04,,,,388135.95,
2025.3,3260554.57,7.0,1134863.1,1.6,130691.86,11.5,980282.58,,2125691.47,,1752114.31,,,,373577.16,
2025.2,3205173.24,7.0,1094370.01,0.1,132756.61,9.7,936521.03,,2110803.23,,1729152.98,,,,381650.25,
2025.1,3185247.18,7.0,1124457.45,0.4,142254.48,17.2,951293.35,,2060789.72,,1706978.65,,,,353811.07,
2024.12,3135322.3,7.3,670959.41,-1.4,128194.16,13.0,542765.25,,2464362.89,,552512.79,,1521245.67,,390604.44,
2024.11,3119587.27,7.1,650904.16,-3.7,124180.26,12.7,526723.9,,2468683.11,,556763.15,,1499261.27,,412658.7,
2024.10,3097092.01,7.5,633357.47,-6.1,122447.04,12.8,510910.43,,2463734.54,,563793.63,,1491426.93,,408513.98,
2024.9,3094798.24,6.8,628236.54,-7.4,121830.0,11.5,506406.54,,2466561.7,,572859.65,,1497233.39,,396468.66,
2024.8,3050461.27,6.3,630238.09,-7.3,119472.57,12.2,510765.52,,2420223.18,,558630.33,,1475097.85,,386494.99,
2024.7,3033060.78,6.3,632296.54,-6.6,118840.46,12.0,513456.08,,2400764.24,,553177.51,,1467976.51,,379610.23,
2024.6,3050161.54,6.2,660610.52,-5.0,117736.77,11.7,542873.75,,2389551.02,,543438.99,,1471458.81,,374653.22,
2024.5,3018506.73,7.0,646842.47,-4.2,117062.72,11.7,529779.75,,2371664.26,,543826.55,,1449924.36,,377913.36,
2024.4,3011941.98,7.2,660065.69,-1.4,117310.55,10.8,542755.14,,2351876.29,,538183.74,,1445836.62,,367855.93,
2024.3,3047952.16,8.3,685808.9,1.1,117210.5,11.0,568598.4,,2362143.26,,532332.1,,1464460.63,,365350.53,
2024.2,2995572.97,8.7,665916.09,1.2,121009.93,12.5,544906.16,,2329656.88,,525853.85,,1436070.41,,367732.62,
2024.1,2976250.2,8.7,694197.88,5.9,121398.54,5.9,572799.34,,2282052.31,,529387.48,,1404051.27,,348613.56,
2023.12,2922713.33,9.7,680542.52,1.3,113444.64,8.3,567097.87,,2242170.81,,520995.5,,1378566.94,,342608.37,
2023.11,2912014.22,10.0,675903.41,1.3,110225.18,10.4,565678.23,,2236110.81,,526662.75,,1358833.46,,350614.6,
2023.10,2882276.07,10.3,674696.07,1.9,108565.35,10.2,566130.72,,2207580.0,,523057.04,,1349789.6,,334733.35,
2023.9,2896659.11,10.3,678443.65,2.1,109253.22,10.7,569190.43,,2218215.45,,526043.56,,1356228.42,,335943.48,
2023.8,2869343.25,10.6,679588.35,2.2,106515.36,9.5,573072.99,,2189754.91,,519227.45,,1330846.83,,339680.63,
2023.7,2854031.56,10.7,677218.92,2.3,106129.68,9.9,571089.24,,2176812.64,,511062.35,,1322953.04,,342797.25,
2023.6,2873023.83,11.3,695595.48,3.1,105419.2,9.6,590176.28,,2177428.35,,507502.51,,1331168.72,,338757.12,
2023.5,2820504.68,11.6,675252.98,4.7,104756.71,9.6,570496.27,,2145251.7,,503707.8,,1304289.26,,337254.65,
2023.4,2808469.34,12.4,669761.55,5.3,105904.46,10.7,563857.09,,2138707.8,,507413.15,,1298936.12,,332358.52,
2023.3,2814566.31,12.7,678059.63,5.1,105591.3,11.0,572468.33,,2136506.68,,498890.82,,1311044.43,,326571.43,
2023.2,2755249.23,12.9,657938.74,5.8,107602.58,10.6,550336.16,,2097310.49,,488056.58,,1281772.99,,327480.92,
2023.1,2738072.06,12.6,655214.16,6.7,114601.3,7.9,540612.86,,2082857.9,,473130.73,,1273792.04,,335935.13,
2022.12,2664320.84,11.8,671674.76,5.8,104706.03,15.3,566968.73,,1992646.08,,462001.61,,1211692.83,,318951.64,
2022.11,2647008.48,12.4,667042.61,4.6,99740.12,14.1,567302.49,,1979965.87,,468411.98,,1182822.73,,328731.16,
2022.10,2612914.57,11.8,662140.99,5.8,98416.71,14.4,563724.29,,1950773.58,,469458.35,,1160137.48,,321177.75,
2022.9,2626600.92,12.1,664535.17,6.4,98672.06,13.6,565863.11,,1962065.75,,477617.65,,1165283.43,,319164.67,
2022.8,2595068.27,12.2,664604.85,6.1,97231.03,14.3,567373.82,,1930463.41,,467432.14,,1141166.08,,321865.19,
2022.7,2578078.57,12.0,661832.33,6.7,96509.19,13.9,565323.13,,1916246.24,,459426.67,,1132832.2,,323987.38,
2022.6,2581451.2,11.4,674374.81,5.8,96011.17,13.9,578363.63,,1907076.4,,457183.96,,1136280.29,,313612.15,
2022.5,2527026.15,11.1,645107.52,4.6,95546.86,13.5,549560.66,,1881918.63,,454597.39,,1111382.6,,315938.65,
2022.4,2499710.9,10.5,636139.01,5.1,95626.49,11.5,540512.52,,1863571.88,,449668.85,,1103942.11,,309960.92,
2022.3,2497688.34,9.7,645063.8,4.7,95141.92,10.0,549921.88,,1852624.54,,440627.48,,1110996.78,,301000.29,
2022.2,2441488.9,9.2,621612.11,4.7,97227.7,5.8,524384.41,,1819876.79,,432729.04,,1083799.8,,303347.95,
2022.1,2431022.72,9.8,613859.35,-1.9,106188.87,18.5,507670.48,,1817163.37,,437385.2,,1086710.6,,293067.56,
2021.12,2382899.56,9.0,647443.35,3.5,90825.15,7.7,556618.2,,1735456.21,,412951.55,,1032441.18,,290063.47,
2021.11,2356012.76,8.5,637482.04,3.0,87433.41,7.2,550048.64,,1718530.72,,414661.65,,1013514.25,,290354.82,
2021.10,2336160.48,8.7,626082.12,2.8,86085.78,6.2,539996.34,,1710078.36,,413146.22,,1006184.57,,290747.58,
2021.9,2342829.7,8.3,624645.68,3.7,86867.09,5.5,537778.58,,1718184.02,,419569.72,,1018365.56,,280248.73,
2021.8,2312267.68,8.2,626658.69,4.2,85059.2,6.3,541599.49,,1685608.98,,408950.37,,997519.57,,279139.04,
2021.7,2302153.82,8.3,620367.05,4.9,84717.56,6.1,535649.48,,1681786.77,,407866.77,,994180.36,,279739.64,
2021.6,2317788.36,8.6,637479.36,5.5,84346.97,6.2,553132.39,,1680309.0,,403886.44,,1007902.81,,268519.76,
2021.5,2275538.07,8.3,616828.32,6.1,84177.72,5.6,532650.6,,1658709.75,,402495.21,,985345.24,,270869.3,
2021.4,2262107.12,8.1,605421.89,6.2,85803.37,5.3,519618.52,,1656685.23,,407652.46,,984210.94,,264821.83,
2021.3,2276488.45,9.4,616113.17,7.1,86543.64,4.2,529569.53,,1660375.27,,401306.69,,1000038.64,,259029.94,
2021.2,2236030.26,10.1,593487.46,7.4,91924.6,4.2,501562.86,,1642542.8,,402758.22,,980468.77,,259315.81,
2021.1,2213047.33,9.4,625563.81,14.7,89625.24,-3.9,535938.57,,1587483.53,,398888.93,,947857.92,,240736.67,
2020.12,2186795.89,10.1,625580.99,8.6,84314.53,9.2,541266.46,,1561214.9,,383837.34,,932966.35,,244411.22,
2020.11,2172002.55,10.7,618632.17,10.0,81593.61,10.3,537038.56,,1553370.39,,391958.56,,916265.25,,245146.57,
2020.10,2149720.42,10.5,609182.41,9.1,81036.43,10.4,528145.97,,1540538.01,,393029.58,,909850.6,,237657.83,
2020.9,2164084.8,10.9,602312.12,8.1,82370.87,11.1,519941.25,,1561772.69,,407659.25,,919507.05,,234606.39,
2020.8,2136836.91,10.4,601289.1,8.0,80042.71,9.4,521246.39,,1535547.81,,400253.63,,899949.94,,235344.24,
2020.7,2125458.46,10.7,591192.64,6.9,79867.21,9.9,511325.43,,1534265.83,,397800.88,,895926.45,,240538.49,
